Id      Type    Group   Values  
0       1       1       A11, 6.00, A34, A43, 1169.00, A65, A75, 4.00, A93, A101, 4.00, A121, 67.00, A143, A152, 2.00, A173, 1.00, A192, A201
30      -1      -1      A12, NA, A32, A49, 1913.00, A64, A72, 3.00, A94, A101, 3.00, A121, 36.00, A141, A152, 1.00, A173, 1.00, A192, A201
31      -1      -1      A11, 24.00, A32, A42, 4020.00, NA, A73, 2.00, A93, A101, 2.00, A123, 27.00, A142, A152, 1.00, A173, 1.00, A191, A201
32      -1      -1      A12, 18.00, A32, NA, 5866.00, A62, A73, 2.00, A93, A101, 2.00, A123, NA, A143, A152, 2.00, A173, 1.00, A192, A201
33      1       5       A14, 12.00, A34, A49, 1264.00, A65, A75, 4.00, A93, A101, 4.00, A124, 57.00, A143, A151, 1.00, A172, 1.00, A191, A201
34      1       1       A13, 12.00, A32, A42, 1474.00, A61, A72, 4.00, A92, A101, 1.00, A122, 33.00, A141, A152, 1.00, A174, 1.00, A192, A201
35      1       1       A12, 45.00, A34, A43, 4746.00, A61, A72, 4.00, A93, A101, 2.00, A122, 25.00, A143, A152, 2.00, A172, 1.00, A191, A201
36      0       3       A14, NA, A34, A46, 6110.00, A61, A73, 1.00, A93, A101, 3.00, A124, 31.00, A141, A153, 1.00, A173, 1.00, A192, A201
37      -1      -1      A13, 18.00, A32, A43, 2100.00, A61, A73, NA, A93, A102, 2.00, NA, 37.00, A142, A152, NA, A173, 1.00, A191, A201
38      -1      -1      A13, 10.00, A32, A44, 1225.00, A61, A73, 2.00, A93, A101, 2.00, A123, 37.00, A143, A152, 1.00, A173, 1.00, NA, A201
39      1       1       A12, 9.00, A32, A43, 458.00, A61, A73, 4.00, A93, A101, 3.00, A121, 24.00, A143, A152, 1.00, A173, 1.00, A191, A201
40      -1      -1      A14, 30.00, A32, A43, 2333.00, NA, A75, 4.00, A93, NA, 2.00, A123, 30.00, A141, A152, 1.00, A174, 1.00, A191, A201
41      -1      -1      A12, 12.00, NA, A43, 1158.00, A63, A73, 3.00, A91, A101, 1.00, A123, 26.00, NA, A152, 1.00, A173, 1.00, A192, A201
42      1       6       A12, 18.00, A33, A45, 6204.00, A61, A73, 2.00, A93, A101, 4.00, A121, 44.00, A143, A152, NA, A172, 2.00, A192, A201
43      1       1       A11, 30.00, A34, A41, 6187.00, A62, A74, 1.00, A94, A101, 4.00, A123, 24.00, A143, A151, 2.00, A173, 1.00, A191, A201
44      -1      -1      A11, 48.00, A34, A41, 6143.00, A61, A75, 4.00, A92, A101, 4.00, A124, 58.00, A142, A153, 2.00, A172, NA, A191, NA
45      -1      -1      A14, 11.00, A34, A40, 1393.00, A61, A72, 4.00, NA, A101, 4.00, A123, 35.00, A143, A152, 2.00, A174, 1.00, A191, A201
46      -1      -1      A14, 36.00, NA, A43, 2299.00, A63, A75, 4.00, A93, A101, 4.00, A123, 39.00, A143, A152, 1.00, A173, 1.00, A191, A201
47      -1      -1      NA, 6.00, A32, NA, 1352.00, A63, A71, NA, A92, A101, 2.00, A122, 23.00, A143, A151, 1.00, A171, 1.00, A192, A201
48      1       1       A14, 11.00, A34, A40, 7228.00, A61, A73, 1.00, A93, A101, 4.00, A122, 39.00, A143, A152, 2.00, A172, 1.00, A191, A201
49      -1      -1      A14, 12.00, A32, A43, 2073.00, A62, A73, 4.00, A92, A102, 2.00, A121, 28.00, A143, A152, NA, A173, 1.00, A191, A201
50      1       1       A12, 24.00, A33, A42, 2333.00, A65, A72, 4.00, A93, A101, 2.00, A122, 29.00, A141, A152, 1.00, A172, 1.00, A191, A201
51      -1      -1      A12, 27.00, A33, A41, 5965.00, A61, A75, 1.00, A93, A101, 2.00, A123, NA, A143, A152, 2.00, A174, 1.00, A192, A201
52      1       1       A14, 12.00, A32, A43, 1262.00, A61, A73, 3.00, A93, A101, 2.00, A123, 25.00, A143, A152, 1.00, A173, 1.00, A191, A201
53      1       1       A14, 18.00, A32, A41, 3378.00, A65, A73, 2.00, A93, A101, 1.00, A122, 31.00, A143, A152, 1.00, A173, 1.00, A192, A201
54      1       4       A12, 36.00, A33, A40, 2225.00, A61, A75, 4.00, A93, A101, 4.00, A124, 57.00, A141, A153, 2.00, A173, 1.00, A192, A201
55      -1      -1      A14, 6.00, A31, A40, NA, A65, A73, 1.00, A93, A103, 2.00, A121, 26.00, A142, A152, 1.00, A172, 2.00, A191, A201
56      -1      -1      A12, 12.00, A32, A43, 6468.00, A65, A71, 2.00, A93, A101, 1.00, A124, 52.00, A143, A152, 1.00, A174, 1.00, A192, A201
57      -1      -1      A14, 36.00, A34, A43, 9566.00, A61, A73, 2.00, A92, A101, 2.00, A123, 31.00, A142, A152, 2.00, A173, 1.00, A191, NA
58      -1      -1      A13, 18.00, A32, A40, NA, A61, A75, 3.00, A92, A101, NA, A123, 23.00, A143, A152, 1.00, A174, 1.00, A191, A201
59      -1      -1      A11, 36.00, A34, A42, 6229.00, A61, A72, 4.00, A92, A102, 4.00, A124, 23.00, A143, A151, 2.00, A172, 1.00, A192, A201
60      -1      -1      A12, 9.00, A32, A49, 1391.00, A61, A73, 2.00, A94, A101, 1.00, NA, 27.00, A141, A152, 1.00, A173, 1.00, A192, A201
61      -1      -1      NA, 15.00, A34, A43, 1537.00, A65, A75, 4.00, A93, A103, 4.00, A121, 50.00, A143, A152, 2.00, A173, 1.00, A192, A201
62      1       4       A12, 36.00, A30, A49, 1953.00, A61, A75, 4.00, A93, A101, 4.00, A124, 61.00, A143, A153, 1.00, A174, 1.00, A192, A201
63      -1      -1      A12, 48.00, A30, A49, 14421.00, A61, NA, 2.00, A93, A101, NA, A123, 25.00, A143, A152, 1.00, A173, 1.00, A192, A201
64      -1      -1      A14, 24.00, A32, A43, 3181.00, A61, A72, 4.00, A92, A101, 4.00, NA, 26.00, A143, A152, 1.00, A173, 1.00, A192, A201
65      -1      -1      A14, 27.00, A32, A45, 5190.00, A65, A75, 4.00, A93, A101, 4.00, A122, 48.00, A143, A152, 4.00, A173, 2.00, NA, A201
66      1       1       A14, 12.00, A32, A43, 2171.00, A61, A72, 2.00, A92, A101, 2.00, A123, 29.00, A141, A152, 1.00, A173, 1.00, A191, A201
67      -1      -1      A12, 12.00, A32, A40, 1007.00, A64, A73, 4.00, NA, A101, 1.00, A121, 22.00, A143, A152, 1.00, A173, 1.00, A191, A201
68      -1      -1      NA, 36.00, A32, A46, 1819.00, A61, A73, 4.00, A93, A101, 4.00, A124, 37.00, A142, A153, NA, A173, 1.00, A192, A201
69      1       1       A14, 36.00, A32, A43, 2394.00, A65, A73, 4.00, A92, A101, 4.00, A123, 25.00, A143, A152, 1.00, A173, 1.00, A191, A201
70      1       1       A14, 36.00, A32, A41, 8133.00, A61, A73, 1.00, A92, A101, 2.00, A122, 30.00, A141, A152, 1.00, A173, 1.00, A191, A201
71      -1      -1      A14, NA, NA, A43, 730.00, A65, A75, 4.00, A93, A101, 2.00, A122, 46.00, A143, A151, 2.00, A172, 1.00, A192, A201
72      -1      -1      A11, NA, A34, A41, 1164.00, A61, A75, 3.00, A93, A101, 4.00, A124, 51.00, A141, A153, 2.00, A174, NA, A192, A201
73      -1      -1      A12, 42.00, A34, A49, 5954.00, A61, A74, 2.00, A92, A101, 1.00, A121, 41.00, A141, A152, 2.00, A172, 1.00, A191, A201
74      -1      -1      A11, 36.00, A32, A46, 1977.00, A65, A75, 4.00, A93, A101, 4.00, A124, 40.00, NA, A152, 1.00, A174, 1.00, NA, A201
75      1       4       A11, 12.00, A34, A41, 1526.00, A61, A75, 4.00, A93, A101, 4.00, A124, 66.00, A143, A153, 2.00, A174, 1.00, A191, A201
76      -1      -1      A11, 42.00, A32, NA, 3965.00, A61, NA, 4.00, A93, A101, 3.00, A123, 34.00, A143, A152, 1.00, A173, 1.00, A191, A201
77      -1      -1      A12, 11.00, A33, A43, 4771.00, A61, A74, 2.00, A93, A101, 4.00, NA, 51.00, A143, A152, 1.00, A173, 1.00, A191, A201
78      -1      -1      A14, 54.00, A30, A41, 9436.00, A65, A73, 2.00, A93, A101, NA, A122, 39.00, A143, A152, 1.00, A172, 2.00, A191, A201
79      -1      -1      NA, 30.00, A32, A42, 3832.00, A61, NA, 2.00, A94, A101, 1.00, A122, NA, A143, NA, 1.00, A173, 1.00, A191, A201
80      -1      -1      A14, 24.00, A32, NA, 5943.00, A65, A72, 1.00, A92, A101, 1.00, A123, 44.00, A143, A152, 2.00, A173, 1.00, A192, A201
81      1       7       A14, 15.00, A32, A43, 1213.00, A63, A75, 4.00, A93, A101, 3.00, A122, 47.00, A142, A152, 1.00, A173, 1.00, A192, A201
82      -1      -1      A14, 18.00, A32, NA, 1568.00, A62, A73, 3.00, A92, A101, 4.00, A122, 24.00, A143, A151, 1.00, A172, 1.00, A191, A201
83      -1      -1      A11, 24.00, A32, A41, 1755.00, A61, A75, 4.00, A92, A103, 4.00, A121, NA, A143, A152, 1.00, A172, 1.00, A192, A201
84      -1      -1      A11, 10.00, A32, A43, 2315.00, NA, A75, 3.00, A93, A101, 4.00, A121, 52.00, A143, A152, 1.00, A172, 1.00, A191, A201
85      -1      -1      A14, 12.00, A34, A49, 1412.00, A61, A73, 4.00, A92, A103, 2.00, A121, 29.00, A143, A152, NA, A174, 1.00, A192, A201
86      0       1       A12, 18.00, A34, A42, 1295.00, A61, A72, 4.00, A92, A101, NA, A122, 27.00, A143, A152, 2.00, A173, 1.00, A191, A201
87      0       3       A12, 36.00, A32, A46, NA, A62, A73, 1.00, A93, A101, 4.00, A124, 47.00, A143, A153, 1.00, A173, 2.00, A192, A201
88      -1      -1      A11, 18.00, A32, A40, 2249.00, A62, A74, 4.00, A93, A101, 3.00, A123, NA, A143, A152, 1.00, A174, 2.00, A192, A201
89      -1      -1      A11, 12.00, A30, A45, 1108.00, A61, A74, 4.00, A93, A101, 3.00, NA, 28.00, A143, A152, 2.00, A173, 1.00, A191, A201
90      1       1       A14, 12.00, A34, A43, 618.00, A61, A75, 4.00, A93, A101, 4.00, A121, 56.00, A143, A152, 1.00, A173, 1.00, A191, A201
91      -1      -1      A11, 12.00, A34, A41, 1409.00, A61, NA, 4.00, A93, A101, 3.00, A121, NA, A143, A152, 1.00, A173, NA, NA, A201
92      -1      -1      A14, 12.00, NA, A43, 797.00, A65, A75, 4.00, A92, A101, 3.00, A122, 33.00, A141, A152, 1.00, A172, 2.00, NA, A201
93      -1      -1      A13, 24.00, A34, A42, 3617.00, A65, A75, 4.00, NA, A102, 4.00, A124, 20.00, A143, A151, NA, A173, 1.00, A191, A201
94      -1      -1      NA, 12.00, A32, A40, 1318.00, A64, A75, 4.00, A93, A101, 4.00, A121, 54.00, A143, A152, 1.00, NA, 1.00, A192, A201
95      0       4       A12, NA, A30, A49, 15945.00, A61, A72, 3.00, A93, A101, 4.00, A124, 58.00, A143, A151, 1.00, A173, 1.00, A192, A201
96      0       5       A14, 12.00, A34, A46, 2012.00, A65, A74, 4.00, A92, A101, 2.00, A123, 61.00, A143, A152, 1.00, A173, 1.00, A191, A201
97      1       1       A12, 18.00, A32, A49, 2622.00, A62, A73, 4.00, A93, A101, 4.00, A123, 34.00, A143, A152, 1.00, A173, 1.00, A191, A201
98      -1      -1      A12, 36.00, A34, A43, 2337.00, A61, A75, 4.00, A93, A101, 4.00, A121, 36.00, NA, A152, NA, A173, 1.00, A191, A201
99      0       6       A12, 20.00, A33, A41, 7057.00, A65, A74, 3.00, A93, A101, 4.00, A122, 36.00, A141, A151, NA, A174, 2.00, A192, A201
