Id      Type    Group   Values  
0       1       1       A11, 6.00, A34, A43, 1169.00, A65, A75, 4.00, A93, A101, 4.00, A121, 67.00, A143, A152, 2.00, A173, 1.00, A192, A201
21      -1      -1      A11, 6.00, A32, A43, 2647.00, A63, A73, 2.00, A93, A101, 3.00, A121, 44.00, A143, A151, 1.00, A173, 2.00, A191, A201
22      -1      -1      A11, 10.00, A34, A40, 2241.00, A61, A72, 1.00, A93, A101, 3.00, A121, 48.00, A143, A151, 2.00, A172, 2.00, A191, A202
23      0       8       A12, 12.00, A34, A41, 1804.00, A62, A72, 3.00, A93, A101, 4.00, A122, 44.00, A143, A152, 1.00, A173, 1.00, A191, A201
24      -1      -1      A14, 10.00, A34, A42, 2069.00, A65, A73, 2.00, A94, A101, 1.00, A123, 26.00, A143, A152, 2.00, A173, 1.00, A191, A202
25      -1      -1      A11, 6.00, A32, A42, 1374.00, A61, A73, 1.00, A93, A101, 2.00, A121, 36.00, A141, A152, 1.00, A172, 1.00, A192, A201
26      -1      -1      A14, 6.00, A30, A43, 426.00, A61, A75, 4.00, A94, A101, 4.00, A123, 39.00, A143, A152, 1.00, A172, 1.00, A191, A201
27      -1      -1      A13, 12.00, A31, A43, 409.00, A64, A73, 3.00, A92, A101, 3.00, A121, 42.00, A143, A151, 2.00, A173, 1.00, A191, A201
28      1       1       A12, 7.00, A32, A43, 2415.00, A61, A73, 3.00, A93, A103, 2.00, A121, 34.00, A143, A152, 1.00, A173, 1.00, A191, A201
29      1       2       A11, 60.00, A33, A49, 6836.00, A61, A75, 3.00, A93, A101, 4.00, A124, 63.00, A143, A152, 2.00, A173, 1.00, A192, A201
30      0       7       A12, 18.00, A32, A49, 1913.00, A64, A72, 3.00, A94, A101, 3.00, A121, 36.00, A141, A152, 1.00, A173, 1.00, A192, A201
31      1       2       A11, 24.00, A32, A42, 4020.00, A61, A73, 2.00, A93, A101, 2.00, A123, 27.00, A142, A152, 1.00, A173, 1.00, A191, A201
32      1       1       A12, 18.00, A32, A40, 5866.00, A62, A73, 2.00, A93, A101, 2.00, A123, 30.00, A143, A152, 2.00, A173, 1.00, A192, A201
33      -1      -1      A14, 12.00, A34, A49, 1264.00, A65, A75, 4.00, A93, A101, 4.00, A124, 57.00, A143, A151, 1.00, A172, 1.00, A191, A201
34      -1      -1      A13, 12.00, A32, A42, 1474.00, A61, A72, 4.00, A92, A101, 1.00, A122, 33.00, A141, A152, 1.00, A174, 1.00, A192, A201
35      1       5       A12, 45.00, A34, A43, 4746.00, A61, A72, 4.00, A93, A101, 2.00, A122, 25.00, A143, A152, 2.00, A172, 1.00, A191, A201
36      0       2       A14, 48.00, A34, A46, 6110.00, A61, A73, 1.00, A93, A101, 3.00, A124, 31.00, A141, A153, 1.00, A173, 1.00, A192, A201
37      0       1       A13, 18.00, A32, A43, 2100.00, A61, A73, 4.00, A93, A102, 2.00, A121, 37.00, A142, A152, 1.00, A173, 1.00, A191, A201
38      1       1       A13, 10.00, A32, A44, 1225.00, A61, A73, 2.00, A93, A101, 2.00, A123, 37.00, A143, A152, 1.00, A173, 1.00, A192, A201
39      1       1       A12, 9.00, A32, A43, 458.00, A61, A73, 4.00, A93, A101, 3.00, A121, 24.00, A143, A152, 1.00, A173, 1.00, A191, A201
40      0       1       A14, 30.00, A32, A43, 2333.00, A63, A75, 4.00, A93, A101, 2.00, A123, 30.00, A141, A152, 1.00, A174, 1.00, A191, A201
41      0       1       A12, 12.00, A32, A43, 1158.00, A63, A73, 3.00, A91, A101, 1.00, A123, 26.00, A143, A152, 1.00, A173, 1.00, A192, A201
42      -1      -1      A12, 18.00, A33, A45, 6204.00, A61, A73, 2.00, A93, A101, 4.00, A121, 44.00, A143, A152, 1.00, A172, 2.00, A192, A201
43      -1      -1      A11, 30.00, A34, A41, 6187.00, A62, A74, 1.00, A94, A101, 4.00, A123, 24.00, A143, A151, 2.00, A173, 1.00, A191, A201
44      0       2       A11, 48.00, A34, A41, 6143.00, A61, A75, 4.00, A92, A101, 4.00, A124, 58.00, A142, A153, 2.00, A172, 1.00, A191, A201
45      1       2       A14, 11.00, A34, A40, 1393.00, A61, A72, 4.00, A92, A101, 4.00, A123, 35.00, A143, A152, 2.00, A174, 1.00, A191, A201
46      1       1       A14, 36.00, A32, A43, 2299.00, A63, A75, 4.00, A93, A101, 4.00, A123, 39.00, A143, A152, 1.00, A173, 1.00, A191, A201
47      -1      -1      A11, 6.00, A32, A41, 1352.00, A63, A71, 1.00, A92, A101, 2.00, A122, 23.00, A143, A151, 1.00, A171, 1.00, A192, A201
48      1       2       A14, 11.00, A34, A40, 7228.00, A61, A73, 1.00, A93, A101, 4.00, A122, 39.00, A143, A152, 2.00, A172, 1.00, A191, A201
49      1       1       A14, 12.00, A32, A43, 2073.00, A62, A73, 4.00, A92, A102, 2.00, A121, 28.00, A143, A152, 1.00, A173, 1.00, A191, A201
50      0       5       A12, 24.00, A33, A42, 2333.00, A65, A72, 4.00, A93, A101, 2.00, A122, 29.00, A141, A152, 1.00, A172, 1.00, A191, A201
51      1       3       A12, 27.00, A33, A41, 5965.00, A61, A75, 1.00, A93, A101, 2.00, A123, 30.00, A143, A152, 2.00, A174, 1.00, A192, A201
52      1       1       A14, 12.00, A32, A43, 1262.00, A61, A73, 3.00, A93, A101, 2.00, A123, 25.00, A143, A152, 1.00, A173, 1.00, A191, A201
53      1       6       A14, 18.00, A32, A41, 3378.00, A65, A73, 2.00, A93, A101, 1.00, A122, 31.00, A143, A152, 1.00, A173, 1.00, A192, A201
54      1       2       A12, 36.00, A33, A40, 2225.00, A61, A75, 4.00, A93, A101, 4.00, A124, 57.00, A141, A153, 2.00, A173, 1.00, A192, A201
55      -1      -1      A14, 6.00, A31, A40, 783.00, A65, A73, 1.00, A93, A103, 2.00, A121, 26.00, A142, A152, 1.00, A172, 2.00, A191, A201
56      -1      -1      A12, 12.00, A32, A43, 6468.00, A65, A71, 2.00, A93, A101, 1.00, A124, 52.00, A143, A152, 1.00, A174, 1.00, A192, A201
57      1       1       A14, 36.00, A34, A43, 9566.00, A61, A73, 2.00, A92, A101, 2.00, A123, 31.00, A142, A152, 2.00, A173, 1.00, A191, A201
58      1       2       A13, 18.00, A32, A40, 1961.00, A61, A75, 3.00, A92, A101, 2.00, A123, 23.00, A143, A152, 1.00, A174, 1.00, A191, A201
59      -1      -1      A11, 36.00, A34, A42, 6229.00, A61, A72, 4.00, A92, A102, 4.00, A124, 23.00, A143, A151, 2.00, A172, 1.00, A192, A201
60      1       7       A12, 9.00, A32, A49, 1391.00, A61, A73, 2.00, A94, A101, 1.00, A121, 27.00, A141, A152, 1.00, A173, 1.00, A192, A201
61      0       1       A12, 15.00, A34, A43, 1537.00, A65, A75, 4.00, A93, A103, 4.00, A121, 50.00, A143, A152, 2.00, A173, 1.00, A192, A201
62      1       2       A12, 36.00, A30, A49, 1953.00, A61, A75, 4.00, A93, A101, 4.00, A124, 61.00, A143, A153, 1.00, A174, 1.00, A192, A201
63      1       2       A12, 48.00, A30, A49, 14421.00, A61, A73, 2.00, A93, A101, 2.00, A123, 25.00, A143, A152, 1.00, A173, 1.00, A192, A201
64      -1      -1      A14, 24.00, A32, A43, 3181.00, A61, A72, 4.00, A92, A101, 4.00, A122, 26.00, A143, A152, 1.00, A173, 1.00, A192, A201
65      -1      -1      A14, 27.00, A32, A45, 5190.00, A65, A75, 4.00, A93, A101, 4.00, A122, 48.00, A143, A152, 4.00, A173, 2.00, A192, A201
66      1       1       A14, 12.00, A32, A43, 2171.00, A61, A72, 2.00, A92, A101, 2.00, A123, 29.00, A141, A152, 1.00, A173, 1.00, A191, A201
67      1       7       A12, 12.00, A32, A40, 1007.00, A64, A73, 4.00, A94, A101, 1.00, A121, 22.00, A143, A152, 1.00, A173, 1.00, A191, A201
68      1       2       A14, 36.00, A32, A46, 1819.00, A61, A73, 4.00, A93, A101, 4.00, A124, 37.00, A142, A153, 1.00, A173, 1.00, A192, A201
69      1       1       A14, 36.00, A32, A43, 2394.00, A65, A73, 4.00, A92, A101, 4.00, A123, 25.00, A143, A152, 1.00, A173, 1.00, A191, A201
70      0       1       A14, 36.00, A32, A41, 8133.00, A61, A73, 1.00, A92, A101, 2.00, A122, 30.00, A141, A152, 1.00, A173, 1.00, A191, A201
71      -1      -1      A14, 7.00, A34, A43, 730.00, A65, A75, 4.00, A93, A101, 2.00, A122, 46.00, A143, A151, 2.00, A172, 1.00, A192, A201
72      1       2       A11, 8.00, A34, A41, 1164.00, A61, A75, 3.00, A93, A101, 4.00, A124, 51.00, A141, A153, 2.00, A174, 2.00, A192, A201
73      -1      -1      A12, 42.00, A34, A49, 5954.00, A61, A74, 2.00, A92, A101, 1.00, A121, 41.00, A141, A152, 2.00, A172, 1.00, A191, A201
74      -1      -1      A11, 36.00, A32, A46, 1977.00, A65, A75, 4.00, A93, A101, 4.00, A124, 40.00, A143, A152, 1.00, A174, 1.00, A192, A201
75      1       2       A11, 12.00, A34, A41, 1526.00, A61, A75, 4.00, A93, A101, 4.00, A124, 66.00, A143, A153, 2.00, A174, 1.00, A191, A201
76      1       2       A11, 42.00, A32, A43, 3965.00, A61, A72, 4.00, A93, A101, 3.00, A123, 34.00, A143, A152, 1.00, A173, 1.00, A191, A201
77      1       8       A12, 11.00, A33, A43, 4771.00, A61, A74, 2.00, A93, A101, 4.00, A122, 51.00, A143, A152, 1.00, A173, 1.00, A191, A201
78      0       2       A14, 54.00, A30, A41, 9436.00, A65, A73, 2.00, A93, A101, 2.00, A122, 39.00, A143, A152, 1.00, A172, 2.00, A191, A201
79      0       5       A12, 30.00, A32, A42, 3832.00, A61, A72, 2.00, A94, A101, 1.00, A122, 22.00, A143, A152, 1.00, A173, 1.00, A191, A201
80      -1      -1      A14, 24.00, A32, A43, 5943.00, A65, A72, 1.00, A92, A101, 1.00, A123, 44.00, A143, A152, 2.00, A173, 1.00, A192, A201
81      0       1       A14, 15.00, A32, A43, 1213.00, A63, A75, 4.00, A93, A101, 3.00, A122, 47.00, A142, A152, 1.00, A173, 1.00, A192, A201
82      0       2       A14, 18.00, A32, A49, 1568.00, A62, A73, 3.00, A92, A101, 4.00, A122, 24.00, A143, A151, 1.00, A172, 1.00, A191, A201
83      -1      -1      A11, 24.00, A32, A41, 1755.00, A61, A75, 4.00, A92, A103, 4.00, A121, 58.00, A143, A152, 1.00, A172, 1.00, A192, A201
84      1       1       A11, 10.00, A32, A43, 2315.00, A61, A75, 3.00, A93, A101, 4.00, A121, 52.00, A143, A152, 1.00, A172, 1.00, A191, A201
85      -1      -1      A14, 12.00, A34, A49, 1412.00, A61, A73, 4.00, A92, A103, 2.00, A121, 29.00, A143, A152, 2.00, A174, 1.00, A192, A201
86      1       5       A12, 18.00, A34, A42, 1295.00, A61, A72, 4.00, A92, A101, 1.00, A122, 27.00, A143, A152, 2.00, A173, 1.00, A191, A201
87      0       2       A12, 36.00, A32, A46, 12612.00, A62, A73, 1.00, A93, A101, 4.00, A124, 47.00, A143, A153, 1.00, A173, 2.00, A192, A201
88      -1      -1      A11, 18.00, A32, A40, 2249.00, A62, A74, 4.00, A93, A101, 3.00, A123, 30.00, A143, A152, 1.00, A174, 2.00, A192, A201
89      -1      -1      A11, 12.00, A30, A45, 1108.00, A61, A74, 4.00, A93, A101, 3.00, A121, 28.00, A143, A152, 2.00, A173, 1.00, A191, A201
90      1       1       A14, 12.00, A34, A43, 618.00, A61, A75, 4.00, A93, A101, 4.00, A121, 56.00, A143, A152, 1.00, A173, 1.00, A191, A201
91      1       1       A11, 12.00, A34, A41, 1409.00, A61, A75, 4.00, A93, A101, 3.00, A121, 54.00, A143, A152, 1.00, A173, 1.00, A191, A201
92      -1      -1      A14, 12.00, A34, A43, 797.00, A65, A75, 4.00, A92, A101, 3.00, A122, 33.00, A141, A152, 1.00, A172, 2.00, A191, A201
93      -1      -1      A13, 24.00, A34, A42, 3617.00, A65, A75, 4.00, A93, A102, 4.00, A124, 20.00, A143, A151, 2.00, A173, 1.00, A191, A201
94      1       7       A12, 12.00, A32, A40, 1318.00, A64, A75, 4.00, A93, A101, 4.00, A121, 54.00, A143, A152, 1.00, A173, 1.00, A192, A201
95      1       2       A12, 54.00, A30, A49, 15945.00, A61, A72, 3.00, A93, A101, 4.00, A124, 58.00, A143, A151, 1.00, A173, 1.00, A192, A201
96      -1      -1      A14, 12.00, A34, A46, 2012.00, A65, A74, 4.00, A92, A101, 2.00, A123, 61.00, A143, A152, 1.00, A173, 1.00, A191, A201
97      0       1       A12, 18.00, A32, A49, 2622.00, A62, A73, 4.00, A93, A101, 4.00, A123, 34.00, A143, A152, 1.00, A173, 1.00, A191, A201
98      1       1       A12, 36.00, A34, A43, 2337.00, A61, A75, 4.00, A93, A101, 4.00, A121, 36.00, A143, A152, 1.00, A173, 1.00, A191, A201
99      -1      -1      A12, 20.00, A33, A41, 7057.00, A65, A74, 3.00, A93, A101, 4.00, A122, 36.00, A141, A151, 2.00, A174, 2.00, A192, A201
